Bioma,Qtd_Focos,Media_Risco,Media_DiasSemChuva,Media_FRP
Amazônia,19557620,0.671159786861354,14.071628208621025,30.698637530144122
Caatinga,2851938,0.8861787895232422,24.518342595171692,25.225505615874372
Cerrado,13861337,0.8612742565723979,28.932558945971998,31.048860660500868
Mata Atlântica,2297818,0.7061076627498057,12.227642337190424,19.109123568074644
Pampa,123181,0.40856728208712517,5.027414369211952,16.953611027054354
Pantanal,2441985,0.7048160980163136,10.914942094269652,36.33075455001665
