Estado,Ano,Mes,Qtd_Focos,Media_Risco,Media_DiasSemChuva,Media_FRP
ACRE,2016,1,97,0.39999999999999997,1.5463917525773196,15.576923076923077
ACRE,2016,2,18,0.24705882352941178,1.0,12.5
ACRE,2016,3,16,0.25625000000000003,1.3125,
ACRE,2016,4,57,0.5678571428571428,1.5087719298245614,8.5
ACRE,2016,5,200,0.6755,6.725,19.57
ACRE,2016,6,724,0.807949790794979,12.191988950276244,15.384848484848485
ACRE,2016,7,3644,0.9348933813348104,15.1218441273326,27.027936962750715
ACRE,2016,8,16338,0.7386132549307852,8.53482678418411,37.01256082725061
ACRE,2016,9,20292,0.6064527260179434,4.419820618963138,46.21686046511628
ACRE,2016,10,3615,0.2651355838406198,1.6940525587828492,29.123508771929828
ACRE,2016,11,449,0.2782997762863535,2.4075723830734965,21.33653846153846
ACRE,2016,12,60,0.4083333333333333,1.2,37.73333333333333
ACRE,2017,1,10,0.08,0.0,
ACRE,2017,2,47,0.11489361702127661,0.0,25.175
ACRE,2017,3,14,0.04285714285714286,0.0,
ACRE,2017,4,29,0.23448275862068965,0.0,6.7
ACRE,2017,5,89,0.3943820224719101,0.0,11.455555555555556
ACRE,2017,6,233,0.6727678571428571,0.0,18.422727272727272
ACRE,2017,7,2092,0.9527536231884058,0.0,22.42713936430318
ACRE,2017,8,7184,0.5467642956764296,0.0,30.522679045092836
ACRE,2017,9,15528,0.5203968560752481,0.02601751674394642,33.19769975786925
ACRE,2017,10,9491,0.47546374367622257,0.0,32.63077930582842
ACRE,2017,11,461,0.39739696312364425,0.0,21.60943396226415
ACRE,2017,12,92,0.1,0.0,12.575000000000001
ACRE,2018,1,31,0.15333333333333332,0.0,
ACRE,2018,2,24,0.22916666666666666,0.0,13.966666666666667
ACRE,2018,3,14,0.15714285714285717,0.0,5.3
ACRE,2018,4,36,0.19714285714285715,0.0,8.430555555555555
ACRE,2018,5,112,0.37142857142857144,5.142857142857143,5.966071428571429
ACRE,2018,6,394,0.6644501278772379,13.855329949238579,6.9675
ACRE,2018,7,2617,0.7833205226748655,14.373328238440964,12.177179006560449
ACRE,2018,8,8076,0.22732688011913627,3.8684992570579495,17.7197619369674
ACRE,2018,9,25498,0.2762291544045517,4.356459330143541,20.334061347311202
ACRE,2018,10,3781,0.28129629629629627,2.173763554615181,15.352926525529265
ACRE,2018,11,474,0.12410147991543341,1.5443037974683544,12.803863636363635
ACRE,2018,12,20,0.16499999999999998,1.85,5.733333333333333
ACRE,2019,1,16,0.08666666666666667,0.4375,7.066666666666666
ACRE,2019,2,5,0.02,0.4,5.74
ACRE,2019,3,30,0.03793103448275863,0.4666666666666667,5.996153846153846
ACRE,2019,4,61,0.27377049180327867,3.80327868852459,6.958928571428571
ACRE,2019,5,262,0.4088803088803089,6.614503816793893,7.7749999999999995
ACRE,2019,6,506,0.5294820717131474,6.9604743083003955,8.606703910614524
ACRE,2019,7,2151,0.6748692810457516,6.135750813575082,13.573586256263422
ACRE,2019,8,27541,0.7514565225297305,11.39922297665299,19.847379765593427
ACRE,2019,9,31369,0.2403759086851167,1.8975421594567885,22.076264093920727
ACRE,2019,10,4788,0.19659280936454848,2.001670843776107,16.920767004341535
ACRE,2019,11,421,0.1711904761904762,1.6935866983372923,13.341632653061223
ACRE,2019,12,24,0.08333333333333333,0.75,9.178571428571429
ACRE,2020,1,152,0.10126666666666666,2.3552631578947367,28.580392156862743
ACRE,2020,2,18,0.08823529411764706,0.6111111111111112,5.5
ACRE,2020,3,34,0.1303030303030303,1.4411764705882353,5.26875
ACRE,2020,4,128,0.18515625,3.4921875,5.853658536585366
ACRE,2020,5,482,0.39201257861635225,4.850622406639004,7.146762589928057
ACRE,2020,6,787,0.4871959026888604,7.360864040660737,7.961050328227571
ACRE,2020,7,2886,0.5856200069468566,5.1493416493416495,11.554292480757844
ACRE,2020,8,32678,0.5956444989273675,7.349133973927413,21.391659007352942
ACRE,2020,9,31386,0.32011060818564324,2.176862295290894,20.045799756507623
ACRE,2020,10,14549,0.38119826756496633,2.9485875317891264,16.166129525752165
ACRE,2020,11,1964,0.33713557594291543,2.5386965376782076,9.642690058479532
ACRE,2020,12,172,0.4372093023255814,1.5232558139534884,7.97710843373494
ACRE,2021,1,111,0.09541284403669725,1.7477477477477477,9.865591397849462
ACRE,2021,2,7,0.0,0.14285714285714285,3.7285714285714286
ACRE,2021,3,56,0.004347826086956522,0.48214285714285715,6.629166666666666
ACRE,2021,4,81,0.11750000000000001,2.2962962962962963,5.982666666666667
ACRE,2021,5,435,0.3745958429561201,4.301149425287356,6.886436781609195
ACRE,2021,6,636,0.534384858044164,9.333333333333334,7.8487603305785125
ACRE,2021,7,4461,0.7225609756097561,11.346110737502801,10.324085440707096
ACRE,2021,8,34833,0.7904128479903468,17.397869836074985,18.732590315142197
ACRE,2021,9,53780,0.2313254356437485,2.321736705094831,19.14957956015524
ACRE,2021,10,16665,0.09627960091357135,1.7246324632463246,15.772910622036656
ACRE,2021,11,605,0.08278145695364239,1.9966942148760332,9.249546279491833
ACRE,2021,12,85,0.2070588235294118,1.3176470588235294,7.271084337349397
ACRE,2022,1,552,0.2872727272727273,7.827898550724638,12.488917525773195
ACRE,2022,2,21,0.12380952380952381,1.0476190476190477,10.063157894736843
ACRE,2022,3,23,0.008695652173913044,0.8695652173913043,4.543478260869565
ACRE,2022,4,90,0.20333333333333334,1.9222222222222223,5.662222222222223
ACRE,2022,5,382,0.4190860215053764,4.198952879581152,7.493617021276595
ACRE,2022,6,873,0.46729384436701504,9.360824742268042,8.449584816132859
ACRE,2022,7,2700,0.6092258788332087,7.268888888888889,11.073346613545816
ACRE,2022,8,22104,0.452159554226692,5.387006636395389,24.495639066479544
ACRE,2022,9,89232,0.32614678384862006,4.005143894566971,35.21570874352477
ACRE,2022,10,14043,0.047965244640695105,1.5245317952004558,34.401148687214615
ACRE,2022,11,15921,0.06540370719447063,5.486841278814145,33.63643844221105
ACRE,2022,12,273,0.07362962962962963,2.970695970695971,22.31758241758242
ACRE,2023,1,92,0.017391304347826087,1.0217391304347827,29.46521739130435
ACRE,2023,2,23,0.008636363636363636,0.7391304347826086,36.70434782608696
ACRE,2023,3,21,0.0014285714285714286,0.2857142857142857,3.3
ACRE,2023,4,25,0.0208,1.28,5.327999999999999
ACRE,2023,5,153,0.06894039735099337,4.379084967320262,9.941176470588236
ACRE,2023,6,474,0.3384497816593886,7.620253164556962,7.44915611814346
ACRE,2023,7,2751,0.5641666666666667,16.097419120319884,16.88397951719093
ACRE,2023,8,18782,0.32707098699637605,6.046054733255245,36.02561380937065
ACRE,2023,9,36940,0.12440999675078523,2.56123443421765,29.31847826086956
ACRE,2023,10,21599,0.15991618430192173,2.3681651928330014,29.35878478664193
ACRE,2023,11,3373,0.12909279573080343,1.890601838126297,15.04467958271237
ACRE,2023,12,119,0.0976271186440678,1.3361344537815125,7.96470588235294
ACRE,2024,1,171,0.04341176470588235,1.6842105263157894,22.288888888888888
ACRE,2024,2,59,0.09999999999999999,1.9322033898305084,14.337288135593221
ACRE,2024,3,112,0.014324324324324325,0.6696428571428571,8.4125
ACRE,2024,4,125,0.10696,1.464,6.224
ACRE,2024,5,248,0.4004918032786885,6.608870967741935,6.143548387096775
ACRE,2024,6,1618,0.5086198243412798,9.599505562422744,8.391027227722772
ACRE,2024,7,6598,0.7778559438425149,15.74022431039709,15.720523353111213
ACRE,2024,8,34191,0.8485000732386114,11.116053932321371,22.518398159889124
ACRE,2024,9,53723,0.6379146725264903,4.4299089775329,23.09445608867237
ACRE,2024,10,40634,0.2597403012997243,2.341315154796476,24.102619077229203
