Estado,Ano,Mes,Internacoes
AM,2018,7,1543
AM,2018,8,1441
AM,2018,9,1198
AM,2018,10,1160
AM,2018,11,988
AM,2018,12,1004
AM,2019,1,1052
AM,2019,2,1567
AM,2019,3,2252
AM,2019,4,1743
AM,2019,5,1497
AM,2019,6,1390
AM,2019,7,1304
AM,2019,8,1402
AM,2019,9,1096
AM,2019,10,1334
AM,2019,11,1134
AM,2019,12,1153
AM,2020,1,1105
AM,2020,2,1096
AM,2020,3,1380
AM,2020,4,888
AM,2020,5,615
AM,2020,6,549
AM,2020,7,778
AM,2020,8,829
AM,2020,9,769
AM,2020,10,881
AM,2020,11,1091
AM,2020,12,1273
AM,2021,1,1674
AM,2021,2,1032
AM,2021,3,968
AM,2021,4,1087
AM,2021,5,1111
AM,2021,6,1144
AM,2021,7,1256
AM,2021,8,1206
AM,2021,9,1235
AM,2021,10,1481
AM,2021,11,1514
AM,2021,12,2038
AM,2022,1,1842
AM,2022,2,1148
AM,2022,3,1827
AM,2022,4,2114
AM,2022,5,2243
AM,2022,6,2041
AM,2022,7,1962
AM,2022,8,1726
AM,2022,9,1526
AM,2022,10,1367
AM,2022,11,1273
AM,2022,12,1335
AM,2023,1,1337
AM,2023,2,1462
AM,2023,3,2043
AM,2023,4,2617
AM,2023,5,3070
AM,2023,6,3126
AM,2023,7,2654
AM,2023,8,2177
AM,2023,9,1601
AM,2023,10,1582
AM,2023,11,1465
AM,2023,12,1261
AM,2024,1,1264
AM,2024,2,1207
AM,2024,3,1805
AM,2024,4,2251
AM,2024,5,2953
AM,2024,6,2843
AM,2024,7,1937
AM,2024,8,1883
AM,2024,9,1678
AM,2024,10,1691
AM,2024,11,1697
AM,2024,12,1651
AM,2025,1,1791
AM,2025,2,1566
AM,2025,3,2180
AM,2025,4,2292
AM,2025,5,2249
AM,2025,6,2474
AM,2025,7,2465
AM,2025,8,2347
AM,2025,9,2029
AM,2025,10,2099
AM,2025,11,1737
AM,2025,12,1301
AP,2016,1,130
AP,2016,2,123
AP,2016,3,272
AP,2016,4,367
AP,2016,5,388
AP,2016,6,421
AP,2016,7,322
AP,2016,8,233
AP,2016,9,207
AP,2016,10,207
AP,2016,11,159
AP,2016,12,147
AP,2017,1,180
AP,2017,2,220
AP,2017,3,307
AP,2017,4,360
AP,2017,5,493
AP,2017,6,430
AP,2017,7,337
AP,2017,8,262
AP,2017,9,206
AP,2017,10,210
AP,2017,11,208
AP,2017,12,183
AP,2018,1,226
AP,2018,2,198
AP,2018,3,252
AP,2018,4,335
AP,2018,5,507
AP,2018,6,517
AP,2018,7,459
AP,2018,8,335
AP,2018,9,270
AP,2018,10,301
AP,2018,11,275
AP,2018,12,265
AP,2019,1,271
AP,2019,2,281
AP,2019,3,437
AP,2019,4,603
AP,2019,5,606
AP,2019,6,514
AP,2019,7,385
AP,2019,8,318
AP,2019,9,317
AP,2019,10,372
AP,2019,11,387
AP,2019,12,297
AP,2020,1,289
AP,2020,2,351
AP,2020,3,321
AP,2020,4,119
AP,2020,5,101
AP,2020,6,88
AP,2020,7,138
AP,2020,8,234
AP,2020,9,166
AP,2020,10,156
AP,2020,11,94
AP,2020,12,126
AP,2021,1,240
AP,2021,2,223
AP,2021,3,267
AP,2021,4,233
AP,2021,5,233
AP,2021,6,254
AP,2021,7,279
AP,2021,8,294
AP,2021,9,209
AP,2021,10,280
AP,2021,11,242
AP,2021,12,366
AP,2022,1,490
AP,2022,2,229
AP,2022,3,374
AP,2022,4,489
AP,2022,5,538
AP,2022,6,464
AP,2022,7,363
AP,2022,8,318
AP,2022,9,358
AP,2022,10,430
AP,2022,11,343
AP,2022,12,301
AP,2023,1,299
AP,2023,2,335
AP,2023,3,482
AP,2023,4,580
AP,2023,5,808
AP,2023,6,726
AP,2023,7,531
AP,2023,8,529
AP,2023,9,367
AP,2023,10,419
AP,2023,11,347
AP,2023,12,321
AP,2024,1,325
AP,2024,2,281
AP,2024,3,477
AP,2024,4,514
AP,2024,5,724
AP,2024,6,585
AP,2024,7,506
AP,2024,8,376
AP,2024,9,318
AP,2024,10,376
AP,2024,11,378
AP,2024,12,334
AP,2025,1,320
AP,2025,2,311
AP,2025,3,473
AP,2025,4,502
AP,2025,5,714
AP,2025,6,643
AP,2025,7,443
AP,2025,8,358
AP,2025,9,341
AP,2025,10,372
AP,2025,11,292
AP,2025,12,156
BA,2016,1,5465
BA,2016,2,6110
BA,2016,3,7281
BA,2016,4,7970
BA,2016,5,7872
BA,2016,6,7344
BA,2016,7,7485
BA,2016,8,7518
BA,2016,9,6870
BA,2016,10,6744
BA,2016,11,5414
BA,2016,12,4924
BA,2017,1,5567
BA,2017,2,4856
BA,2017,3,7084
BA,2017,4,7559
BA,2017,5,9074
BA,2017,6,8248
BA,2017,7,7992
BA,2017,8,7808
BA,2017,9,6872
BA,2017,10,7304
BA,2017,11,6281
BA,2017,12,5895
BA,2018,1,5878
BA,2018,2,4815
BA,2018,3,6750
BA,2018,4,8596
BA,2018,5,9452
BA,2018,6,8107
BA,2018,7,8115
BA,2018,8,7380
BA,2018,9,6569
BA,2018,10,6450
BA,2018,11,5745
BA,2018,12,6010
BA,2019,1,5731
BA,2019,2,4673
BA,2019,3,5973
BA,2019,4,7828
BA,2019,5,9497
BA,2019,6,8362
BA,2019,7,8237
BA,2019,8,7625
BA,2019,9,6820
BA,2019,10,6783
BA,2019,11,5784
BA,2019,12,5198
BA,2020,1,5062
BA,2020,2,5162
BA,2020,3,5323
BA,2020,4,3226
BA,2020,5,3073
BA,2020,6,3218
BA,2020,7,3357
BA,2020,8,3352
BA,2020,9,3544
BA,2020,10,3905
BA,2020,11,3671
BA,2020,12,3324
BA,2021,1,3582
BA,2021,2,3416
BA,2021,3,3730
BA,2021,4,3495
BA,2021,5,4175
BA,2021,6,4133
BA,2021,7,4198
BA,2021,8,4149
BA,2021,9,3821
BA,2021,10,3809
BA,2021,11,4122
BA,2021,12,5903
BA,2022,1,8791
BA,2022,2,4294
BA,2022,3,5640
BA,2022,4,6473
BA,2022,5,7414
BA,2022,6,7104
BA,2022,7,6259
