Estado,Ano,Populacao
AC,2016,816687
AC,2017,829619
AC,2018,869265
AC,2019,881935
AC,2020,894470
AC,2021,906876
AC,2022,898127
AC,2023,889379
AC,2024,880631
AC,2025,884372
AL,2016,3358963
AL,2017,3375823
AL,2018,3322820
AL,2019,3337357
AL,2020,3351543
AL,2021,3365351
AL,2022,3316935
AL,2023,3268519
AL,2024,3220104
AL,2025,3220848
AM,2016,4001667
AM,2017,4063614
AM,2018,4080611
AM,2019,4144597
AM,2020,4207714
AM,2021,4269995
AM,2022,4273733
AM,2023,4277471
AM,2024,4281209
AM,2025,4321616
AP,2016,782295
AP,2017,797722
AP,2018,829494
AP,2019,845731
AP,2020,861773
AP,2021,877613
AP,2022,852687
AP,2023,827762
AP,2024,802837
AP,2025,806517
BA,2016,15276566
BA,2017,15344447
BA,2018,14812617
BA,2019,14873064
BA,2020,14930634
BA,2021,14985284
BA,2022,14940360
BA,2023,14895436
BA,2024,14850513
BA,2025,14870907
CE,2016,8963663
CE,2017,9020460
CE,2018,9075649
CE,2019,9132078
CE,2020,9187103
CE,2021,9240580
CE,2022,9238272
CE,2023,9235964
CE,2024,9233656
CE,2025,9268836
DF,2016,2977216
DF,2017,3039444
DF,2018,2974703
DF,2019,3015268
DF,2020,3055149
DF,2021,3094325
DF,2022,3057156
DF,2023,3019987
DF,2024,2982818
DF,2025,2996899
ES,2016,3973697
ES,2017,4016356
ES,2018,3972388
ES,2019,4018650
ES,2020,4064052
ES,2021,4108508
ES,2022,4106381
ES,2023,4104255
ES,2024,4102129
ES,2025,4126854
GO,2016,6695855
GO,2017,6778772
GO,2018,6921161
GO,2019,7018354
GO,2020,7113540
GO,2021,7206589
GO,2022,7254553
GO,2023,7302518
GO,2024,7350483
GO,2025,7423629
MA,2016,6954036
MA,2017,7000229
MA,2018,7035055
MA,2019,7075181
MA,2020,7114598
MA,2021,7153262
MA,2022,7105828
MA,2023,7058394
MA,2024,7010960
MA,2025,7018211
MG,2016,20997560
MG,2017,21119536
MG,2018,21040662
MG,2019,21168791
MG,2020,21292666
MG,2021,21411923
MG,2022,21382179
MG,2023,21352435
MG,2024,21322691
MG,2025,21393441
MS,2016,2682386
MS,2017,2713147
MS,2018,2748023
MS,2019,2778986
MS,2020,2809394
MS,2021,2839188
MS,2022,2860090
MS,2023,2880992
MS,2024,2901895
MS,2025,2924631
MT,2016,3305531
MT,2017,3344544
MT,2018,3441998
MT,2019,3484466
MT,2020,3526220
MT,2021,3567234
MT,2022,3656955
MT,2023,3746677
MT,2024,3836399
MT,2025,3893659
PA,2016,8272724
PA,2017,8366628
PA,2018,8513497
PA,2019,8602865
PA,2020,8690745
PA,2021,8777124
PA,2022,8739518
PA,2023,8701912
PA,2024,8664306
PA,2025,8711196
PB,2016,3999415
PB,2017,4025558
PB,2018,3996496
PB,2019,4018127
PB,2020,4039277
PB,2021,4059905
PB,2022,4088283
PB,2023,4116661
PB,2024,4145040
PB,2025,4164468
PE,2016,9410336
PE,2017,9473266
PE,2018,9496294
PE,2019,9557071
PE,2020,9616621
PE,2021,9674793
PE,2022,9629538
PE,2023,9584283
PE,2024,9539029
PE,2025,9562007
PI,2016,3212180
PI,2017,3219257
PI,2018,3264531
PI,2019,3273227
PI,2020,3281480
PI,2021,3289290
PI,2022,3318075
PI,2023,3346860
PI,2024,3375646
PI,2025,3384547
PR,2016,11242720
PR,2017,11320892
PR,2018,11348937
PR,2019,11433957
PR,2020,11516840
PR,2021,11597484
PR,2022,11673211
PR,2023,11748938
PR,2024,11824665
PR,2025,11890517
RJ,2016,16635996
RJ,2017,16718956
RJ,2018,17159960
RJ,2019,17264943
RJ,2020,17366189
RJ,2021,17463349
RJ,2022,17382125
RJ,2023,17300902
RJ,2024,17219679
RJ,2025,17223547
RN,2016,3474998
RN,2017,3507003
RN,2018,3479010
RN,2019,3506853
RN,2020,3534165
RN,2021,3560903
RN,2022,3522625
RN,2023,3484348
RN,2024,3446071
RN,2025,3455236
RO,2016,1787279
RO,2017,1805788
RO,2018,1757589
RO,2019,1777225
RO,2020,1796460
RO,2021,1815278
RO,2022,1792261
RO,2023,1769244
RO,2024,1746227
RO,2025,1751950
RR,2016,514229
RR,2017,522636
RR,2018,576568
RR,2019,605761
RR,2020,631181
RR,2021,652713
RR,2022,674073
RR,2023,695433
RR,2024,716793
RR,2025,738772
RS,2016,11286500
RS,2017,11322895
RS,2018,11329605
RS,2019,11377239
RS,2020,11422973
RS,2021,11466630
RS,2022,11387725
RS,2023,11308820
RS,2024,11229915
RS,2025,11233263
SC,2016,6910553
SC,2017,7001161
SC,2018,7075494
SC,2019,7164788
SC,2020,7252502
SC,2021,7338473
SC,2022,7578462
SC,2023,7818451
SC,2024,8058441
SC,2025,8187029
SE,2016,2265779
SE,2017,2288116
SE,2018,2278308
SE,2019,2298696
SE,2020,2318822
SE,2021,2338474
SE,2022,2322675
SE,2023,2306876
SE,2024,2291077
SE,2025,2299425
SP,2016,44749699
SP,2017,45094866
SP,2018,45538936
SP,2019,45919049
SP,2020,46289333
SP,2021,46649132
SP,2022,46423819
SP,2023,46198506
SP,2024,45973194
SP,2025,46081801
TO,2016,1532902
TO,2017,1550194
TO,2018,1555229
TO,2019,1572866
TO,2020,1590248
TO,2021,1607363
TO,2022,1597356
TO,2023,1587349
TO,2024,1577342
TO,2025,1586859
